Depth,Dose
0,0.007339695
1,0.007435692000000001
2,0.007488646000000001
3,0.007536639
4,0.007589648000000001
5,0.007643031000000001
6,0.007698042000000001
7,0.007751667
8,0.007805699000000001
9,0.007865198
10,0.007922695
11,0.007984559
12,0.008053023000000001
13,0.008125623
14,0.008199950000000001
15,0.008276301
16,0.008351288
17,0.008427452
18,0.008507521
19,0.008584323
20,0.008662731000000002
21,0.008745066000000001
22,0.008831944
23,0.008918107
24,0.009007416
25,0.009098122000000002
26,0.009192381000000001
27,0.009292349
28,0.009395287000000002
29,0.009499688000000001
30,0.009607114000000002
31,0.009720612
32,0.009836926000000001
33,0.009960577000000002
34,0.010090421
35,0.010225028
36,0.010363771
37,0.010507299
38,0.010661134000000001
39,0.010823406
40,0.010997184
41,0.01118106
42,0.011374770000000001
43,0.01158223
44,0.01180377
45,0.012042690000000002
46,0.012297450000000001
47,0.012570470000000002
48,0.01286406
49,0.013178770000000001
50,0.013524280000000001
51,0.013897180000000002
52,0.014309460000000001
53,0.014766620000000001
54,0.015272840000000001
55,0.015842750000000003
56,0.01648526
57,0.017227870000000003
58,0.01809115
59,0.01912394
60,0.02037871
61,0.021956
62,0.024029830000000002
63,0.026976840000000002
64,0.03165085
65,0.04690026
66,0.06028088
67,0.0015696450000000002
68,0.00029049020000000003
69,0.00025658490000000006
70,0.00022388300000000002
71,0.00020178730000000003
72,0.00018409050000000002
73,0.0001664179
74,0.0001530837
75,0.000143286
76,0.00013506350000000003
77,0.00012765390000000001
78,0.00012231780000000002
79,0.00011393360000000001
80,0.00010435931000000002
81,9.814717000000002e-05
82,9.421764000000001e-05
83,9.123125000000001e-05
84,8.595818e-05
85,8.347053000000001e-05
86,8.128736000000001e-05
87,7.926512e-05
88,7.607072e-05
89,7.396895e-05
90,7.2303e-05
91,6.922498e-05
92,6.745739000000002e-05
93,6.582389e-05
94,6.398843000000001e-05
95,6.245415e-05
96,6.108597e-05
97,5.928032000000001e-05
98,5.847776000000001e-05
99,5.783547000000001e-05
100,5.6651980000000004e-05
101,5.51914e-05
102,5.377262000000001e-05
103,5.328752e-05
104,5.183244e-05
105,5.141741000000001e-05
106,5.046899000000001e-05
107,4.939902e-05
108,4.920531e-05
109,4.7432440000000006e-05
110,4.6667940000000004e-05
111,4.5739320000000006e-05
112,4.508009000000001e-05
113,4.4413600000000005e-05
114,4.390881e-05
115,4.3706080000000004e-05
116,4.257737e-05
117,4.139377e-05
118,4.065292e-05
119,4.0704840000000007e-05
120,4.061453e-05
121,3.962926e-05
122,3.9011720000000006e-05
123,3.8450940000000004e-05
124,3.7750020000000004e-05
125,3.725876000000001e-05
126,3.641132e-05
127,3.5358730000000006e-05
128,3.567454000000001e-05
129,3.4987810000000005e-05
130,3.390783e-05
131,3.3200640000000005e-05
132,3.2821800000000005e-05
133,3.177405e-05
134,3.1572420000000004e-05
135,3.116872e-05
136,3.103078e-05
137,3.081199e-05
138,3.0248020000000004e-05
139,2.9645110000000003e-05
140,2.9235800000000002e-05
141,2.8673150000000002e-05
142,2.8582290000000002e-05
143,2.824393e-05
144,2.7754430000000002e-05
145,2.7360740000000003e-05
146,2.710136e-05
147,2.6527930000000003e-05
148,2.6404180000000002e-05
149,2.5537380000000002e-05
150,2.5524840000000003e-05
151,2.540626e-05
152,2.5189340000000002e-05
153,2.4482370000000003e-05
154,2.4315720000000003e-05
155,2.3876270000000002e-05
156,2.337896e-05
157,2.3176010000000004e-05
158,2.2846120000000003e-05
159,2.2990220000000004e-05
160,2.2096030000000002e-05
161,2.177076e-05
162,2.1666700000000004e-05
163,2.0856990000000003e-05
164,2.0672410000000003e-05
165,2.055823e-05
166,2.00761e-05
167,1.973345e-05
168,1.9422700000000003e-05
169,1.9089840000000004e-05
170,1.919489e-05
171,1.9235590000000002e-05
172,1.905376e-05
173,1.8380670000000003e-05
174,1.7964870000000003e-05
175,1.776302e-05
176,1.776148e-05
177,1.7457e-05
178,1.71677e-05
179,1.6949130000000002e-05
180,1.7095540000000002e-05
181,1.693846e-05
182,1.654939e-05
183,1.6370750000000002e-05
184,1.612765e-05
185,1.584264e-05
186,1.561362e-05
187,1.505328e-05
188,1.4767170000000001e-05
189,1.472328e-05
190,1.4579180000000001e-05
191,1.465948e-05
192,1.4271840000000002e-05
193,1.401807e-05
194,1.417042e-05
195,1.3867260000000002e-05
196,1.371205e-05
197,1.3440460000000002e-05
198,1.3089340000000001e-05
199,1.2890130000000001e-05
200,1.2892770000000001e-05
201,1.280521e-05
202,1.2464210000000002e-05
203,1.223486e-05
204,1.192906e-05
205,1.191311e-05
206,1.18261e-05
207,1.187978e-05
208,1.1746020000000002e-05
209,1.1509190000000001e-05
210,1.130349e-05
211,1.12695e-05
212,1.1243650000000002e-05
213,1.0967242e-05
214,1.0891100000000001e-05
215,1.0890946e-05
216,1.0724824000000002e-05
217,1.0619180000000002e-05
218,1.0387443e-05
219,1.0320541000000001e-05
220,9.992026e-06
221,9.960016000000002e-06
222,9.875943e-06
223,9.650993000000002e-06
224,9.601372e-06
225,9.567910000000001e-06
226,9.246875e-06
227,9.239769000000001e-06
228,9.132321000000001e-06
229,8.994766000000001e-06
230,8.961975000000002e-06
231,8.899561000000002e-06
232,8.822957e-06
233,8.707072000000002e-06
234,8.801078000000001e-06
235,8.490856000000002e-06
236,8.448418000000001e-06
237,8.48243e-06
238,8.473564000000001e-06
239,8.121289e-06
240,8.097903e-06
241,7.944541e-06
242,7.819009e-06
243,7.833705e-06
244,7.878244e-06
245,7.92627e-06
246,7.744055e-06
247,7.653965e-06
248,7.677934000000001e-06
249,7.492023000000001e-06
250,7.441775e-06
251,7.157876000000001e-06
252,7.0927560000000006e-06
253,7.103646000000001e-06
254,7.123336e-06
255,6.910871e-06
256,6.925996000000001e-06
257,6.7564860000000005e-06
258,6.863461e-06
259,6.640953e-06
260,6.6079310000000005e-06
261,6.503343000000001e-06
262,6.443602e-06
263,6.4420290000000005e-06
264,6.5020670000000005e-06
265,6.416256e-06
266,6.376447e-06
267,6.361762000000001e-06
268,6.4104920000000005e-06
269,6.252444000000001e-06
270,6.116352e-06
271,6.079436000000001e-06
272,5.855652000000001e-06
273,5.933664e-06
274,5.957347000000001e-06
275,5.982196000000001e-06
276,5.861933e-06
277,5.80217e-06
278,5.731440000000001e-06
279,5.6335180000000004e-06
280,5.635322e-06
281,5.550523e-06
282,5.5806960000000005e-06
283,5.57183e-06
284,5.480882e-06
285,5.355867e-06
286,5.237089e-06
287,5.172981e-06
288,5.273653000000001e-06
289,5.238695e-06
290,5.135988000000001e-06
291,5.022787000000001e-06
292,4.986212e-06
293,4.949219000000001e-06
294,4.9872790000000006e-06
295,4.967116000000001e-06
296,4.870536e-06
297,4.747798e-06
298,4.863331e-06
299,4.797892e-06
300,4.58095e-06
301,4.6971540000000005e-06
302,4.724808e-06
303,4.717988e-06
304,4.615039000000001e-06
305,4.5718090000000005e-06
306,4.532935e-06
307,4.37492e-06
308,4.294026e-06
309,4.277185e-06
310,4.2765250000000005e-06
311,4.331415000000001e-06
312,4.290649e-06
313,4.29286e-06
314,4.133877000000001e-06
315,4.127442e-06
316,4.108555e-06
317,4.104661000000001e-06
318,4.071815e-06
319,4.051982e-06
320,3.980735000000001e-06
321,3.9332700000000005e-06
322,3.833291000000001e-06
323,3.844082e-06
324,3.9098400000000005e-06
325,3.903229e-06
326,3.940376000000001e-06
327,3.859504e-06
328,3.864267e-06
329,3.833665e-06
330,3.7295610000000002e-06
331,3.647402e-06
332,3.649833e-06
333,3.6685660000000002e-06
334,3.615711e-06
335,3.5522960000000006e-06
336,3.523399e-06
337,3.5140490000000004e-06
338,3.5061070000000006e-06
339,3.4005070000000003e-06
340,3.4773640000000006e-06
341,3.3994400000000003e-06
342,3.3330220000000003e-06
343,3.4042030000000007e-06
344,3.433859e-06
345,3.3411840000000003e-06
346,3.3150370000000004e-06
347,3.2717520000000005e-06
348,3.3284680000000004e-06
349,3.239665e-06
350,3.218996e-06
351,3.1710360000000004e-06
352,3.1375630000000003e-06
353,3.1420840000000004e-06
354,3.0171570000000004e-06
355,2.982078e-06
356,3.006322e-06
357,3.061619e-06
358,2.9928690000000004e-06
359,2.912899e-06
360,2.9765780000000003e-06
361,2.863146e-06
362,2.8797450000000003e-06
363,2.8588670000000004e-06
364,2.823568e-06
365,2.8008640000000004e-06
366,2.8076840000000002e-06
367,2.8036800000000002e-06
368,2.800754e-06
369,2.7970140000000005e-06
370,2.830927e-06
371,2.805176e-06
372,2.672494e-06
373,2.67762e-06
374,2.672813e-06
375,2.6330920000000005e-06
376,2.6449390000000003e-06
377,2.6171750000000005e-06
378,2.5643530000000006e-06
379,2.534334e-06
380,2.4864400000000003e-06
381,2.528526e-06
382,2.5452790000000005e-06
383,2.439074e-06
384,2.429559e-06
385,2.4175800000000002e-06
386,2.407603e-06
387,2.3859770000000005e-06
388,2.405139e-06
389,2.3425160000000005e-06
390,2.362547e-06
391,2.3460470000000003e-06
392,2.307723e-06
393,2.2995170000000004e-06
394,2.334915e-06
395,2.337192e-06
396,2.249599e-06
397,2.2172260000000004e-06
398,2.2690030000000005e-06
399,2.2625570000000005e-06
